ID,Description,Color,Pattern,Speed
999,test pattern,PURPLE,test_pattern,9
200,thunderstorm with light rain,BLUE,chase_down,6
201,thunderstorm with rain,BLUE,chase_down,8
202,thunderstorm with heavy rain,BLUE,chase_down,9
210,light thunderstorm,BLUE,chase_down,5
211,thunderstorm,BLUE,chase_down,8
212,heavy thunderstorm,BLUE,chase_down,9
221,ragged thunderstorm,BLUE,chase_down,9
230,thunderstorm with light drizzle,AQUA,chase_down,2
231,thunderstorm with drizzle,AQUA,chase_down,3
232,thunderstorm with heavy drizzle,AQUA,chase_down,4
300,light intensity drizzle,AQUA,pulse,1
301,drizzle,AQUA,pulse,1
302,heavy intensity drizzle,AQUA,pulse,3
310,light intensity drizzle rain,AQUA,pulse,1
311,drizzle rain,AQUA,pulse,3
312,heavy intensity drizzle rain,AQUA,pulse,4
313,shower rain and drizzle,AQUA,pulse,7
314,heavy shower rain and drizzle,AQUA,pulse,9
321,shower drizzle,AQUA,chase_down,2
500,light rain,AQUA,chase_down,2
501,moderate rain,AQUA,chase_down,4
502,heavy intensity rain,AQUA,chase_down,6
503,very heavy rain,BLUE,chase_down,7
504,extreme rain,BLUE,chase_down,9
511,freezing rain,BLUE,chase_down,8
520,light intensity shower rain,BLUE,chase_down,3
521,shower rain,BLUE,chase_down,5
522,heavy intensity shower rain,BLUE,chase_down,7
531,ragged shower rain,BLUE,chase_down,7
600,light snow,WHITE,chase_down,2
601,snow,WHITE,chase_down,5
602,heavy snow,WHITE,chase_down,9
611,sleet,WHITE,chase_down,5
612,shower sleet,WHITE,chase_down,7
615,light rain and snow,WHITE,chase_down,3
616,rain and snow,WHITE,chase_down,5
620,light shower snow,WHITE,chase_down,5
621,shower snow,WHITE,chase_down,7
622,heavy shower snow,WHITE,chase_down,9
701,mist,GRAY,pulse,1
711,smoke,GRAY,pulse,3
721,haze,GRAY,pulse,5
731,sand dust whirls,ORANGE,run_down,5
741,fog,GRAY,pulse,2
751,sand,ORANGE,scissor,2
761,dust,ORANGE,scissor,5
762,volcanic ash,ORANGE,scissor,9
771,squalls,RED,flashing,2
781,tornado,RED,flashing,9
800,clear sky,GREEN,wheel,2
801,few clouds,GREEN,wheel,3
802,scattered clouds,GREEN,wheel,6
803,broken clouds,GREEN,wheel,8
804,overcast clouds,GRAY,fill_down,5
